"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Flyfang","Unlimited","Card Text If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. At the end of the Battle Phase, if this card inflicted Battle Damage to your opponent: Banish this card until your next Standby Phase.","Attribute WIND","Level 3","Monster Type Fish","Card Type Effect","ATK 1600","DEF 300","",""
"Skystarray","Unlimited","Card Text This card can attack your opponent directly. At the end of the Battle Phase, if this card attacked directly: Banish this card until your next Standby Phase.","Attribute WIND","Level 3","Monster Type Sea Serpent","Card Type Effect","ATK 600","DEF 300","",""
"Airorca","Unlimited","Card Text Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand, then target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase.","Attribute WIND","Level 3","Monster Type Sea Serpent","Card Type Effect","ATK 1400","DEF 300","",""
"Wingtortoise","Unlimited","Card Text When a face-up Fish, Sea Serpent, or Aqua-Type monster(s) you control is banished: You can Special Summon this card from your hand or Graveyard. (The banished monster(s) must be Fish, Sea Serpent, or Aqua-Type even after being banished.)","Attribute WIND","Level 3","Monster Type Aqua","Card Type Effect","ATK 1500","DEF 1400","",""
"Space-Time Police","Unlimited","Card Text When this card is Special Summoned: Target 1 face-up card your opponent controls; banish that target. When this card leaves the field: Set the card that was banished by this effect to your opponent's side of the field.","Attribute WIND","Level 5","Monster Type Psychic","Card Type Effect","ATK 2300","DEF 1500","",""
"Time Escaper","Unlimited","Card Text During either player's turn: You can discard this card, then target 1 Psychic-Type monster you control; banish it until your next Standby Phase.","Attribute EARTH","Level 2","Monster Type Psychic","Card Type Effect","ATK 500","DEF 100","",""
"Gem-Elephant","Unlimited","Card Text During your Main Phase: You can return this face-up card on the field to the hand. During damage calculation, if this card attacked or was attacked: You can send 1 Normal Monster from your hand to the Graveyard; this card gains 1000 DEF.","Attribute EARTH","Level 3","Monster Type Rock","Card Type Effect","ATK 400","DEF 1900","",""
"Laval Magma Cannoneer","Unlimited","Card Text Up to twice per turn: You can send 1 FIRE monster from your hand to the Graveyard; inflict 500 damage to your opponent.","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Effect","ATK 1700","DEF 200","",""
"Gishki Diviner","Unlimited","Card Text Once per turn: You can declare 1 card name; reveal the top card of your Deck, and if it is the declared card, add it to your hand. Otherwise, return it to the top of the Deck.","Attribute WATER","Level 3","Monster Type Sea Serpent","Card Type Effect","ATK 1200","DEF 800","",""
"Gusto Codor","Unlimited","Card Text When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Special Summon 1 WIND Psychic-Type monster with 1500 or less DEF from your Deck.","Attribute WIND","Level 3","Monster Type Winged Beast","Card Type Effect","ATK 1000","DEF 400","",""
"Saambell the Summoner","Unlimited","Card Text During your Main Phase: You can Special Summon 1 monster from your hand with the same Level as this card. This effect can only be used once while this card is face-up on the field.","Attribute WIND","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 600","DEF 400","",""
"Geargiano","Unlimited","Card Text You can Tribute this card, then target 1 Level 4 Machine-Type monster in your Graveyard; Special Summon it, but its effects are negated.","Attribute EARTH","Level 3","Monster Type Machine","Card Type Effect","ATK 500","DEF 1000","",""
"Poki Draco","Unlimited","Card Text When this card is Normal Summoned: You can add 1 ""Poki Draco"" from your Deck to your hand.","Attribute FIRE","Level 3","Monster Type Dragon","Card Type Effect","ATK 200","DEF 100","",""
"Master of the Flaming Dragonswords","Unlimited","Card Text When a monster is Normal Summoned to your side of the field, except ""Master of the Flaming Dragonswords"": You can increase that monster's Level by 1, and this card gains 300 ATK until the End Phase.","Attribute FIRE","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 1200","",""
"Perditious Puppeteer","Unlimited","Card Text Once per turn: You can discard 1 card; gain control of all face-up Level 3 or lower monsters your opponent controls, until the End Phase. These monsters cannot activate their effects, and cannot be Tributed or used as a Synchro Material Monster.","Attribute DARK","Level 7","Monster Type Fiend","Card Type Effect","ATK 2700","DEF 500","",""
"Blue-Blooded Oni","Unlimited","Card Text When this card is Normal or Flip Summoned: It is changed to Defense Position. Once per turn: You can detach 1 Xyz Material you control to target 1 Level 4 Zombie-Type monster in your Graveyard; Special Summon that target.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1000","DEF 1700","",""
"Ghost Ship","Unlimited","Card Text Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT monster from your Graveyard.","Attribute LIGHT","Level 5","Monster Type Fiend","Card Type Effect","ATK 1900","DEF 1000","",""
"Absolute Crusader","Unlimited","Card Text If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 1200","",""
"The Great Emperor Penguin","Unlimited","Card Text You can Tribute this card; Special Summon up to 2 ""Penguin"" monsters from your Deck, except ""The Great Emperor Penguin"".","Attribute WATER","Level 5","Monster Type Aqua","Card Type Effect","ATK 1800","DEF 1500","",""
"Milla the Temporal Magician","Unlimited","Card Text When this card is Normal Summoned: Target 1 Set card your opponent controls; look at it. Your opponent cannot activate Spell/Trap Cards in response to this effect's activation.","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1800","DEF 1000","",""
"Number 17: Leviathan Dragon","Unlimited","Card Text 2 Level 3 monstersOnce per turn: You can detach 1 Xyz Material from this card; this card gains 500 ATK. If this card has no Xyz Material, it cannot attack your opponent directly.","Attribute WATER","","Monster Type Dragon","Card Type Xyz / Effect","ATK 2000","DEF 0","","Rank 3"
"Submersible Carrier Aero Shark","Unlimited","Card Text 2 Level 3 monstersOnce per turn: You can detach 1 Xyz Material from this card; inflict 100 damage to your opponent for each of your banished monsters.","Attribute WATER","","Monster Type Fish","Card Type Xyz / Effect","ATK 1900","DEF 1000","","Rank 3"
"Number 34: Terror-Byte","Unlimited","Card Text 3 Level 3 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 Level 4 or lower Attack Position monster your opponent controls; gain control of it until the End Phase.","Attribute DARK","","Monster Type Machine","Card Type Xyz / Effect","ATK 0","DEF 2900","","Rank 3"
"Wind-Up Zenmaister","Unlimited","Card Text 2 Level 4 monstersThis card gains 300 ATK for each Xyz Material attached to this card. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster you control; change that face-up monster to face-down Defense Position, and if you do, during the End Phase of this turn, change it to face-up Attack Position.","Attribute EARTH","","Monster Type Machine","Card Type Xyz / Effect","ATK 1900","DEF 1500","","Rank 4"
"Leviair the Sea Dragon","Unlimited","Card Text 2 Level 3 monstersOnce per turn: You can detach 1 material from this card, then target 1 banished Level 4 or lower monster; Special Summon that target to your field.","Attribute WIND","","Monster Type Aqua","Card Type Xyz / Effect","ATK 1800","DEF 1600","","Rank 3"
"Tiras, Keeper of Genesis","Unlimited","Card Text 2 Level 5 monstersThis card's effects can only be applied/resolved while it has Xyz Material. This card cannot be destroyed by card effects. At the end of the Battle Phase, if this card attacked or was attacked: Target 1 card your opponent controls; destroy that target. During each of your End Phases: Detach 1 Xyz Material from this card.","Attribute LIGHT","","Monster Type Fairy","Card Type Xyz / Effect","ATK 2600","DEF 1700","","Rank 5"
"Wonder Wand","Unlimited","Card Text Equip only to a Spellcaster monster. It gains 500 ATK. If you control the equipped monster and this card: You can send both to the GY; draw 2 cards.","","","","","","","Icon Equip Spell",""
"Double or Nothing!","Unlimited","Card Text When a monster's attack is negated: Target that monster; it can make a second attack during this Battle Phase, and if it does, its ATK is doubled during the Damage Step only.","","","","","","","Icon Quick-Play Spell",""
"Thunder Short","Unlimited","Card Text Inflict 400 damage to your opponent for each monster they control.","","","","","","","Icon Normal Spell",""
"Aqua Jet","Unlimited","Card Text Target 1 face-up Fish, Sea Serpent, or Aqua-Type monster you control; it gains 1000 ATK.","","","","","","","Icon Normal Spell",""
"Surface","Unlimited","Card Text Target 1 Level 3 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it in face-up Defense Position.","","","","","","","Icon Normal Spell",""
"Crashbug Road","Unlimited","Card Text Each player can Special Summon 1 monster from their hand with the same Level as 1 face-up Level 4 or lower monster they control.","","","","","","","Icon Quick-Play Spell",""
"Infected Mail","Unlimited","Card Text Once per turn: You can target 1 Level 4 or lower monster you control; it can attack your opponent directly this turn. Send it to the Graveyard at the end of the Battle Phase.","","","","","","","Icon Continuous Spell",""
"Cracking","Unlimited","Card Text Once per turn, when a monster(s) is sent from the field to the Graveyard by a card effect: Inflict 800 damage to the owner of the monster(s).","","","","","","","Icon Continuous Spell",""
"Legendary Wind-Up Key","Unlimited","Card Text Change all face-up ""Wind-Up"" monsters you control to face-down Defense Position.","","","","","","","Icon Quick-Play Spell",""
"Wind-Up Factory","Unlimited","Card Text Once per turn, if an effect of a ""Wind-Up"" monster is activated (except during the Damage Step): You can add 1 Level 4 or lower ""Wind-Up"" monster from your Deck to your hand.","","","","","","","Icon Continuous Spell",""
"Fish and Kicks","Unlimited","Card Text If you have 3 or more banished Fish, Sea Serpent, or Aqua-Type monsters: Target 1 card on the field; banish it.","","","","","","","Icon Normal Spell",""
"Future Glow","Unlimited","Card Text Activate this card by banishing 1 Psychic-Type monster from your Graveyard, and note its Level; all Psychic-Type monsters you control gain ATK equal to that Level x 200.","","","","","","","Icon Continuous Spell",""
"Vylon Filament","Unlimited","Card Text Equip only to a ""Vylon"" monster. If the equipped monster attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this face-up card on the field is sent to the Graveyard: You can add 1 ""Vylon"" Spell Card from your Deck to your hand.","","","","","","","Icon Equip Spell",""
"Quill Pen of Gulldos","Unlimited","Card Text Target 2 WIND monsters in your Graveyard and 1 card on the field; shuffle both of those first 2 targets into your Deck and return the other to the hand.","","","","","","","Icon Normal Spell",""
"Star Changer","Unlimited","Card Text Target 1 face-up monster on the field and activate 1 of these effects;● Increase that target's Level by 1.● Reduce that target's Level by 1.","","","","","","","Icon Quick-Play Spell",""
"Oni-Gami Combo","Unlimited","Card Text Target 1 face-up Xyz Monster you control and detach all of its Xyz Material; this turn, that target can attack twice during the same Battle Phase.","","","","","","","Icon Normal Spell",""
"Resonance Device","Unlimited","Card Text Target 2 face-up monsters you control with the same Type and Attribute; change one of their Levels to the current Level of the other, until the End Phase.","","","","","","","Icon Normal Spell",""
"Peeking Goblin","Unlimited","Card Text Your opponent reveals the top 3 cards of their Deck. Choose one to place on the bottom of the Deck and place the other two on top of the Deck in any order.","","","","","","","Icon Normal Spell",""
"Asleep at the Switch","Unlimited","Card Text When your opponent gains Life Points: Target 1 monster your opponent controls; destroy that target.","","","","","","","Icon Normal Trap",""
"Poseidon Wave","Unlimited","Card Text When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict 800 damage to your opponent for each Fish, Sea Serpent, or Aqua-Type monster you control.","","","","","","","Icon Normal Trap",""
"Explosive Urchin","Unlimited","Card Text Activate only when your opponent activates a Trap Card. During your Standby Phase: Inflict 1000 damage to your opponent. Your opponent must control a face-up Trap Card for you to activate and resolve this effect. During your 3rd End Phase after activation, send this card to the Graveyard.","","","","","","","Icon Continuous Trap",""
"Damage Vaccine Ω MAX","Unlimited","Card Text When you take damage by battle or by a card effect: Gain Life Points equal to the damage you took.","","","","","","","Icon Normal Trap",""
"Overwind","Unlimited","Card Text Target 1 face-up ""Wind-Up"" monster you control; its ATK and DEF are doubled, and it returns to the hand during the End Phase. You can only activate 1 ""Overwind"" per turn.","","","","","","","Icon Normal Trap",""
"Underworld Egg Clutch","Unlimited","Card Text When a face-up Fish, Sea Serpent, or Aqua-Type monster you control is banished: Add 1 Level 4 or lower Fish, Sea Serpent, or Aqua-Type monster from your Deck to your hand.","","","","","","","Icon Normal Trap",""
"Oh F!sh!","Unlimited","Card Text When an Effect Monster's effect activates: Shuffle 1 of your banished Fish, Sea Serpent, or Aqua-Type monsters into the Main Deck; negate the activation and destroy it.","","","","","","","Icon Counter Trap",""
"Bright Future","Unlimited","Card Text Target 2 of your banished Psychic-Type monsters; return both those targets to the Graveyard and draw 1 card.","","","","","","","Icon Normal Trap",""
"Past Image","Unlimited","Card Text If you control a face-up Psychic-Type monster: Target 1 monster your opponent controls; banish it. During the next Standby Phase, it returns to the opponent's side of the field in the same Battle Position.","","","","","","","Icon Normal Trap",""
"Burgeoning Whirlflame","Unlimited","Card Text When a Trap Card is activated: Send 1 ""Laval"" monster from your hand to the Graveyard; negate the activation and destroy it. If this card is in the Graveyard: You can banish 2 FIRE monsters from your Graveyard; add this card to your hand.","","","","","","","Icon Counter Trap",""
"Treaty on Uniform Nomenclature","Unlimited","Card Text If you control 2 or more face-up monsters with the same name, except Tokens: Apply this effect, depending on how many you control.●Exactly 2: Destroy 1 Spell/Trap Card your opponent controls.●Exactly 3: Destroy all Spell/Trap Cards your opponent controls.","","","","","","","Icon Normal Trap",""
"Utopian Aura","Unlimited","Card Text Detach 1 Xyz Material from a monster you control; the face-up Xyz Monsters you currently control cannot be destroyed by card effects until the End Phase.","","","","","","","Icon Normal Trap",""
"United Front","Unlimited","Card Text When a Trap Card is activated while you control 2 or more face-up monsters with the same Level: Negate the activation and destroy it.","","","","","","","Icon Counter Trap",""
"Curse of the Circle","Unlimited","Card Text Target 1 monster your opponent controls; your opponent cannot Tribute it, or use it as a Synchro Material Monster.","","","","","","","Icon Normal Trap",""
"Tyrant's Tummyache","Unlimited","Card Text Activate by Tributing 1 monster. Neither player can Special Summon a Level 6 or higher monster. If you have 3 or more cards in your hand, destroy this card.","","","","","","","Icon Continuous Trap",""
"Attention!","Unlimited","Card Text Target 1 face-up Level 5 or lower monster your opponent controls; destroy all face-up monsters on the field with a different Level than it.","","","","","","","Icon Normal Trap",""
"Raigeki Bottle","Unlimited","Card Text Each time a monster you control declares an attack, place 1 Thunder Counter on this card. You can send this card with 4 or more Thunder Counters to the Graveyard; destroy all monsters your opponent controls.","","","","","","","Icon Continuous Trap",""
"Gravelstorm","Unlimited","Card Text Target 1 Spell/Trap Card on each side of the field; return them to the hand.","","","","","","","Icon Normal Trap",""
"Metaion, the Timelord","Unlimited","Card Text Cannot be Special Summoned from the Deck. If you control no monsters, you can Normal Summon this card without Tributing. Cannot be destroyed by battle or card effects. You take no battle damage from attacks involving this Attack Position card. At the end of the Battle Phase, if this card battled: Return as many monsters on the field as possible to the hand (other than this card), and if you do, inflict 300 damage to your opponent for each card returned. Once per turn, during your Standby Phase: Shuffle this card into the Deck.","Attribute FIRE","Level 10","Monster Type Fairy","Card Type Effect","ATK 0","DEF 0","",""
"Reborn Tengu","Unlimited","Card Text If this face-up card leaves the field: Special Summon 1 ""Reborn Tengu"" from your Deck.","Attribute WIND","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1700","DEF 600","",""
"Dodger Dragon","Unlimited","Card Text This card's Normal Summon cannot be negated. After this card was Normal Summoned, your opponent cannot activate Counter Trap Cards for the rest of that turn.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Effect","ATK 1900","DEF 1200","",""
"Mara of the Nordic Alfar","Unlimited","Card Text When using this card as Synchro Material, the other Synchro Materials must be 2 ""Nordic"" monsters in your hand.","Attribute DARK","Level 2","Monster Type Spellcaster","Card Type Tuner / Effect","ATK 1000","DEF 500","",""
"Tour Guide From the Underworld","Semi-limited","Card Text When this card is Normal Summoned: You can Special Summon 1 Level 3 Fiend monster from your hand or Deck, but negate its effects, also it cannot be used as Synchro Material. Semi-limited","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1000","DEF 600","",""
"Psi-Beast","Unlimited","Card Text When this card is Normal Summoned, you can remove from play 1 Psychic-Type monster from your Deck. This card's Level becomes the Level of that monster.","Attribute EARTH","Level 2","Monster Type Psychic","Card Type Effect","ATK 700","DEF 500","",""
"Gladiator Beast Essedarii","Unlimited","Card Text 2 ""Gladiator Beast"" monstersMust first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".)","Attribute EARTH","Level 5","Monster Type Beast","Card Type Fusion / Effect","ATK 2500","DEF 1400","",""
"Gladiator Taming","Unlimited","Card Text If a face-up ""Gladiator Beast"" monster is on the field, activate 1 of these effects:●Select 1 face-up monster your opponent controls, and change its battle position.●Select 1 face-up ""Gladiator Beast"" monster your opponent controls, and take control of it until the End Phase.","","","","","","","Icon Quick-Play Spell",""
"Full House","Unlimited","Card Text Target 2 other face-up Spell/Trap Cards and 3 Set Spell/Trap Cards, on the field; destroy them.","","","","","","","Icon Normal Trap",""
"Psychic Shockwave","Unlimited","Card Text Activate only when your opponent activates a Trap Card. Discard 1 Spell/Trap Card to Special Summon 1 Level 6 DARK Machine-Type monster from your Deck.","","","","","","","Icon Normal Trap",""
"Sephylon, the Ultimate Timelord","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having 10 or more monsters in your GY. Once per turn: You can Special Summon 1 Level 8 or higher Fairy monster from your hand or GY, but its effects are negated, also its ATK becomes 4000.","Attribute LIGHT","Level 10","Monster Type Fairy","Card Type Effect","ATK 4000","DEF 4000","",""
"Shooting Quasar Dragon","Unlimited","Card Text 1 Tuner Synchro Monster + 2 or more non-Tuner Synchro MonstersMust be Synchro Summoned, and cannot be Special Summoned by other ways. This card's maximum number of attacks per turn equals the number of non-Tuner monsters used as its Synchro Material. Once per turn, when a card or effect is activated: You can negate the activation and destroy it. When this card leaves the field: You can Special Summon 1 ""Shooting Star Dragon"" from your Extra Deck.","Attribute LIGHT","Level 12","Monster Type Dragon","Card Type Synchro / Effect","ATK 4000","DEF 4000","",""
"Infernity Knight","Unlimited","Card Text When this card on the field is destroyed and sent to the Graveyard: You can discard 2 cards; Special Summon this card from the Graveyard.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1400","DEF 400","",""
"Endless Decay","Unlimited","Card Text If you have 2000 LP or less, you can Special Summon this card (from your hand). If this card is Normal or Special Summoned: This card's ATK becomes half the opponent's LP.","Attribute DARK","Level 5","Monster Type Zombie","Card Type Effect","ATK ?","DEF 0","",""
"Grapha, Dragon Lord of Dark World","Unlimited","Card Text You can Special Summon this card (from your Graveyard) by returning 1 ""Dark World"" monster you control to the hand, except ""Grapha, Dragon Lord of Dark World"". If this card is discarded to the Graveyard by a card effect: Target 1 card your opponent controls; destroy that target, then, if this card was discarded from your hand to your Graveyard by an opponent's card effect, look at 1 random card in your opponent's hand, then, if it was a monster, you can Special Summon it to your side of the field.","Attribute DARK","Level 8","Monster Type Fiend","Card Type Effect","ATK 2700","DEF 1800","",""
"Snoww, Unlight of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: If it was discarded from your hand to your Graveyard by an opponent's card effect, you can target 1 monster in your opponent's Graveyard; add 1 ""Dark World"" card from your Deck to your hand, then Special Summon that target (if any) in face-up Defense Position.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1700","DEF 0","",""
"Ceruli, Guru of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: Special Summon this card from the Graveyard to your opponent's side of the field in face-up Defense Position. When this card is Special Summoned by the effect of a ""Dark World"" card: Your opponent must discard 1 card.","Attribute DARK","Level 1","Monster Type Fiend","Card Type Effect","ATK 100","DEF 300","",""
"The Gates of Dark World","Unlimited","Card Text All Fiend-Type monsters gain 300 ATK and DEF. Once per turn: You can banish 1 Fiend-Type monster from your Graveyard; discard 1 Fiend-Type monster, then draw 1 card.","","","","","","","Icon Field Spell",""
"Dark Scheme","Unlimited","Card Text Your opponent can discard 1 card to negate this card's effect, otherwise both players discard 2 cards, then draw 2 cards.","","","","","","","Icon Normal Trap",""
"Phantom King Hydride","Unlimited","Card Text If you use this card you control for a Synchro Summon, you can treat it as a non-Tuner monster.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Tuner / Effect","ATK 1500","DEF 300","",""
"Celestial Wolf Lord, Blue Sirius","Unlimited","Card Text 1 Tuner + 1 or more non-Tuner monstersWhen this card on the field is destroyed and sent to the Graveyard: Target 1 face-up monster your opponent controls; it loses 2400 ATK.","Attribute DARK","Level 6","Monster Type Beast-Warrior","Card Type Synchro / Effect","ATK 2400","DEF 1500","",""
"Bunilla","Unlimited","Card Text This rabbit's got a sweet tooth! He's on a quest for the world's sweetest carrot, and just wants to nibble carrots all day today, tomorrow, and the day after that!","Attribute EARTH","Level 1","Monster Type Beast","Card Type Normal","ATK 150","DEF 2050","",""
"Rabidragon","Unlimited","Card Text It's a snowfield-dwelling, giant-ear-sporting, super-acoustic, snowball-shaped mutant dragon! There's no way anybody can escape.","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Normal","ATK 2950","DEF 2900","",""
"Rai Rider","Unlimited","Card Text If this card battles an opponent's monster: That monster cannot attack while it is face-up on the field.","Attribute LIGHT","Level 3","Monster Type Thunder","Card Type Effect","ATK 1200","DEF 1400","",""
"Stinging Swordsman","Unlimited","Card Text When this card inflicts Battle Damage to your opponent: Return all face-up cards in your opponent's Spell & Trap Card Zones to the hand.","Attribute WIND","Level 1","Monster Type Warrior","Card Type Effect","ATK 300","DEF 600","",""
"Kagetokage","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned by its own effect. When you Normal Summon a Level 4 monster: You can Special Summon this card from your hand. Cannot be used as Synchro Material.","Attribute DARK","Level 4","Monster Type Reptile","Card Type Effect","ATK 1100","DEF 1500","",""
"Acorno","Unlimited","Card Text During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand.","Attribute EARTH","Level 1","Monster Type Plant","Card Type Effect","ATK 200","DEF 400","",""
"Pinecono","Unlimited","Card Text If this card is sent to the Graveyard by the effect of ""Acorno"": You can Special Summon this card from the Graveyard.","Attribute EARTH","Level 1","Monster Type Plant","Card Type Effect","ATK 400","DEF 200","",""
"Friller Rabca","Unlimited","Card Text When a Fish, Sea Serpent, or Aqua-Type monster you control is targeted for an attack: You can banish this card from your Graveyard, then target the attacking monster; negate the attack, and if you do, that target loses 500 ATK until the end of the next turn. You can only use this effect of ""Friller Rabca"" once per turn.","Attribute WATER","Level 3","Monster Type Fish","Card Type Effect","ATK 700","DEF 1500","",""
"Shark Stickers","Unlimited","Card Text When a Fish, Sea Serpent, or Aqua-Type monster is Normal or Special Summoned to your side of the field: You can Special Summon this card from your hand. This card cannot be used as a Synchro Material Monster.","Attribute WATER","Level 3","Monster Type Fish","Card Type Effect","ATK 200","DEF 1000","",""
"Needle Sunfish","Unlimited","Card Text When this card is sent to the Graveyard: Target 1 face-up monster your opponent controls; that target loses 500 ATK.","Attribute WATER","Level 3","Monster Type Fish","Card Type Effect","ATK 1500","DEF 100","",""
"Galaxy-Eyes Photon Dragon","Unlimited","Card Text You can Special Summon this card (from your hand) by Tributing 2 monsters with 2000 or more ATK. During the Battle Step, if this card battles an opponent's monster (Quick Effect): You can target that opponent's monster; banish both this card from the field and that target. Return those banished monsters to the field at the end of the Battle Phase, and if you banished an Xyz Monster, this card gains 500 ATK for each material it had when it was banished.","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Effect","ATK 3000","DEF 2500","",""
"Daybreaker","Unlimited","Card Text When this card is Special Summoned: You can Special Summon 1 ""Daybreaker"" from your hand.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1700","DEF 0","",""
"Lightserpent","Unlimited","Card Text If this card is sent from the hand to your Graveyard: You can Special Summon it from the Graveyard. This card cannot be used as a Synchro Material Monster.","Attribute LIGHT","Level 3","Monster Type Reptile","Card Type Effect","ATK 1200","DEF 800","",""
"Plasma Ball","Unlimited","Card Text This card can attack your opponent directly. When this card inflicts Battle Damage to your opponent by a direct attack: Destroy this card.","Attribute LIGHT","Level 3","Monster Type Thunder","Card Type Effect","ATK 900","DEF 900","",""
"Photon Cerberus","Unlimited","Card Text During the turn this card was Normal Summoned, neither player can activate Trap Cards while this card is face-up on the field.","Attribute LIGHT","Level 3","Monster Type Beast","Card Type Effect","ATK 1300","DEF 600","",""
"Evoltile Gephyro","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: You can target 1 ""Evolsaur"" monster in your Graveyard; Special Summon that target.","Attribute FIRE","Level 1","Monster Type Reptile","Card Type Effect","ATK 200","DEF 400","",""
"Evoltile Westlo","Unlimited","Card Text FLIP: Special Summon 1 ""Evolsaur"" monster from your Deck.","Attribute FIRE","Level 3","Monster Type Reptile","Card Type Effect","ATK 700","DEF 1900","",""
"Evoltile Odonto","Unlimited","Card Text When this card is Normal Summoned: You can Special Summon 1 ""Evolsaur"" monster from your hand.","Attribute FIRE","Level 2","Monster Type Reptile","Card Type Effect","ATK 500","DEF 1200","",""
"Evolsaur Vulcano","Unlimited","Card Text When this card is Special Summoned by the effect of an ""Evoltile"" monster: You can target 1 ""Evolsaur"" monster in your Graveyard; Special Summon that target. It cannot declare an attack.","Attribute FIRE","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1200","DEF 1000","",""
"Evolsaur Cerato","Unlimited","Card Text When this card is Special Summoned by the effect of an ""Evoltile"" monster: It gains 200 ATK. If this card was Special Summoned by the effect of an ""Evoltile"" monster, each time this card destroys an opponent's monster by battle: You can add 1 ""Evoltile"" monster from your Deck to your hand.","Attribute FIRE","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1900","DEF 1400","",""
"Evolsaur Diplo","Unlimited","Card Text When this card is Special Summoned by the effect of an ""Evoltile"" monster: Target 1 Spell/Trap Card your opponent controls; destroy that target.","Attribute FIRE","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1600","DEF 800","",""
"Wind-Up Warrior","Unlimited","Card Text You can target 1 face-up ""Wind-Up"" monster you control; increase its Level by 1 and its ATK by 600, until the End Phase. This effect can only be used once while this card is face-up on the field.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 1800","",""
"Wind-Up Knight","Unlimited","Card Text When a face-up ""Wind-Up"" monster you control is targeted for an attack: You can negate the attack. This effect can only be used once while this card is face-up on the field.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 1200","",""
"Wind-Up Hunter","Unlimited","Card Text You can Tribute 1 face-up ""Wind-Up"" monster, except ""Wind-Up Hunter""; send 1 random card from your opponent's hand to the Graveyard. This effect can only be used once while this card is face-up on the field.","Attribute DARK","Level 3","Monster Type Beast-Warrior","Card Type Effect","ATK 1600","DEF 500","",""
"Wind-Up Bat","Unlimited","Card Text You can target 1 ""Wind-Up"" monster in your Graveyard; change this face-up Attack Position card you control to face-up Defense Position, and add that target to your hand. This effect can only be used once while this card is face-up on the field.","Attribute WIND","Level 1","Monster Type Machine","Card Type Effect","ATK 300","DEF 350","",""
"Wind-Up Kitten","Unlimited","Card Text You can target 1 monster your opponent controls; return that target to the hand. This effect can only be used once while this card is face-up on the field.","Attribute EARTH","Level 2","Monster Type Beast","Card Type Effect","ATK 800","DEF 500","",""
"D.D. Telepon","Unlimited","Card Text If this face-up card you control is banished: You can banish 1 Psychic-Type monster with 1500 or less ATK from your Deck. Then, during your next Standby Phase, if this card is still banished: Special Summon that monster banished by this effect.","Attribute EARTH","Level 2","Monster Type Psychic","Card Type Effect","ATK 500","DEF 1800","",""
"Wattcobra","Unlimited","Card Text This card can attack your opponent directly. When this card inflicts Battle Damage to your opponent by a direct attack: Add 1 ""Watt"" monster from your Deck to your hand.","Attribute LIGHT","Level 4","Monster Type Thunder","Card Type Effect","ATK 1000","DEF 500","",""
